15.01.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 197100 ; BYR ; зпл1
15.05.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 88 ; USD ; зпл2
15.05.2002 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 125000 ; BYR ; отец
15.05.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 85000 ; BYR ; отец
15.06.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 198900 ; BYR ; зпл1
15.06.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 89 ; USD ; зпл2
15.06.2002 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 126000 ; BYR ; отец
15.06.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 89000 ; BYR ; отец
15.06.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 100000 ; BYR ; мама
15.06.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 30000 ; BYR ; мама
15.06.2002 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 200 ; USD ; родители д.р.
15.06.2002 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 100 ; USD ; д.Л и т.В. д.р.
15.06.2002 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 30 ; USD ; М и Л д.р.
15.06.2002 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 10 ; USD ; Галя д.р.
15.06.2002 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 30000 ; BYR ; д М д.р.
15.06.2002 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 50000 ; BYR ; О.К. и А.И. д.р.
15.06.2002 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 40000 ; BYR ; д.Ф. и б.Б. д.р.
15.07.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 197800 ; BYR ; зпл1
15.07.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 92 ; USD ; зпл2
15.07.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 95000 ; BYR ; мама
15.07.2002 ; Доход ; ЮКОЛА ; Депозиты ; АТС ; 99 ; USD ; тел
15.07.2002 ; Доход ; ЮКОЛА ; Депозиты ; Картриджи ; 75 ; USD ; кар
15.08.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 202200 ; BYR ; зпл1
15.08.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 101 ; USD ; зпл2
15.08.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 80000 ; BYR ; мама
15.08.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 100 ; USD ; отец (50 за июль)
15.08.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 76 ; USD ; кар
15.08.2002 ; Доход ; ЮКОЛА ; Депозиты ; Закупки ; 80 ; USD ; вин
15.08.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; АТС ; 140 ; USD ; звпла
15.09.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 198900 ; BYR ; зпл1
15.09.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 103 ; USD ; зпл2
15.09.2002 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 70 ; USD ; отец
15.09.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 48 ; USD ; отец
15.09.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 42 ; USD ; кар
15.09.2002 ; Доход ; ЮКОЛА ; Депозиты ; Картриджи ; 75 ; USD ; кар
15.09.2002 ; Доход ; ЮКОЛА ; Депозиты ; Закупки ; 8 ; USD ; клв
15.10.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл совмещение ; 199200 ; BYR ; зпл
15.10.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 104 ; USD ; зпл2
15.10.2002 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 70 ; USD ; отец
15.10.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.10.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 60000 ; BYR ; мама
15.10.2002 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 150 ; USD ; д.р.
15.10.2002 ; Доход ; ЮКОЛА ; Депозиты ; Прочие ; 70 ; USD ; про
15.10.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 40 ; USD ; кар
15.10.2002 ; Доход ; ЮКОЛА ; Депозиты ; Прочие ; 15 ; USD ; бар
15.10.2002 ; Доход ; ЮКОЛА ; Депозиты ; Картриджи ; 75 ; USD ; кар
15.11.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 112 ; USD ; зпл1
15.11.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 98 ; USD ; зпл2
15.11.2002 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 70 ; USD ; отец
15.11.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.11.2002 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 30 ; USD ; АИ
15.11.2002 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 22 ; USD ; д.р.
15.12.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 211924 ; BYR ; зпл1
15.12.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 100 ; USD ; зпл2
15.12.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 24 ; USD ; отп
15.12.2002 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 70 ; USD ; отец
15.12.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.12.2002 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 31 ; USD ; мама
15.12.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Подработка ; 10 ; USD ; саг
15.12.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 100 ; USD ; ист
15.12.2002 ; Доход ; Неизвестно ; Мой кошелек ; Неизвестно ; 1 ; USD ; юля
15.12.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 3 ; USD ; дис
15.01.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 82 ; USD ; зпл1
15.01.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 104 ; USD ; зпл2
15.01.2003 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 70 ; USD ; отец
15.01.2003 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.01.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 61 ; USD ; кар
15.01.2003 ; Доход ; ЮКОЛА ; Депозиты ; Закупки ; 155 ; USD ; м,п,в
15.01.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 1 ; USD ; дис
15.02.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 109 ; USD ; зпл1
15.02.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 101 ; USD ; зпл2
15.02.2003 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 70 ; USD ; отец
15.02.2003 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.02.2003 ; Доход ; ЮКОЛА ; Депозиты ; Картриджи ; 158 ; USD ; кар
15.02.2003 ; Доход ; ЮКОЛА ; Депозиты ; Ремонт ; 12 ; USD ; при
15.03.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 107 ; USD ; зпл1
15.03.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 103 ; USD ; зпл2
15.03.2003 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 70 ; USD ; отец
15.03.2003 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 49 ; USD ; отец
15.03.2003 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 41 ; USD ; мама
15.03.2003 ; Доход ; ЮКОЛА ; Депозиты ; Картриджи ; 132 ; USD ; кар
15.03.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 3 ; USD ; дис
15.04.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 106 ; USD ; зпл1
15.04.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 104 ; USD ; зпл2
15.04.2003 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 70 ; USD ; отец
15.04.2003 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.04.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 92 ; USD ; кар
15.04.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 1 ; USD ; дис
15.05.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 105 ; USD ; зпл1
15.05.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 105 ; USD ; зпл2
15.05.2003 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 70 ; USD ; отец
15.05.2003 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 51 ; USD ; отец
15.05.2003 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 100 ; USD ; род
15.05.2003 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 25 ; USD ; д.М
15.05.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 60 ; USD ; кар
15.05.2003 ; Доход ; ЮКОЛА ; Депозиты ; Прочие ; 10 ; USD ; кол
15.05.2003 ; Доход ; ЮКОЛА ; Депозиты ; Прочие ; 20 ; USD ; яма
15.05.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 0,5 ; USD ; дис
15.06.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 104 ; USD ; зпл1
15.06.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 106 ; USD ; зпл2
15.06.2003 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.06.2003 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 50 ; USD ; ОК АИ
15.06.2003 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 35 ; USD ; д.Ф б.Б
15.06.2003 ; Доход ; ЮКОЛА ; Депозиты ; АТС ; 30 ; USD ; пла
15.06.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 2,5 ; USD ; дис
15.07.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 103 ; USD ; зпл1
15.07.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 107 ; USD ; зпл2
15.07.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 49 ; USD ; отп
15.07.2003 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.07.2003 ; Доход ; ЮКОЛА ; Депозиты ; Картриджи ; 210 ; USD ; кар
15.07.2003 ; Доход ; ЮКОЛА ; Депозиты ; АТС ; 65 ; USD ; пла
15.07.2003 ; Доход ; ЮКОЛА ; Депозиты ; Прочие ; 35 ; USD ; тон
15.07.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 2 ; USD ; кар
15.07.2003 ; Доход ; ЮКОЛА ; Депозиты ; Прочие ; 110 ; USD ; жсм
15.07.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 3,5 ; USD ; дис
15.08.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 80 ; USD ; зпл1
15.08.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 119 ; USD ; зпл2
15.08.2003 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.08.2003 ; Доход ; Государство ; Мой кошелек ; Пособие ; 31 ; USD ; пос
15.08.2003 ; Доход ; Прочие (Разовые) ; Мой кошелек ; Щенки ; 240 ; USD ; щен
15.08.2003 ; Доход ; ЮКОЛА ; Депозиты ; Закупки ; 5 ; USD ; юсб
15.08.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 0,5 ; USD ; дис
15.08.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 1,5 ; USD ; пер
15.09.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 71 ; USD ; зпл1
15.09.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 139 ; USD ; зпл2
15.09.2003 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 70 ; USD ; отец
15.09.2003 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.09.2003 ; Доход ; Государство ; Мой кошелек ; Пособие ; 33,5 ; USD ; пос
15.09.2003 ; Доход ; Прочие (Разовые) ; Мой кошелек ; Щенки ; 105 ; USD ; щен
15.09.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 3 ; USD ; кар
15.09.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 4 ; USD ; сот
15.09.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 4,5 ; USD ; дис
15.10.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл совмещение ; 40 ; USD ; недо
15.10.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 100 ; USD ; зпл1
15.10.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 160 ; USD ; зпл2
15.10.2003 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 70 ; USD ; отец
15.10.2003 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.10.2003 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 50 ; USD ; отец на стекло
15.10.2003 ; Доход ; Государство ; Мой кошелек ; Пособие ; 17 ; USD ; пос
15.10.2003 ; Доход ; Государство ; Депозиты ; Пособие ; 0 ; USD ; пос
15.10.2003 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 100 ; USD ; род
15.10.2003 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 47 ; USD ; род
15.10.2003 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 33 ; USD ; дФбБ
15.10.2003 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 9 ; USD ; Гал
15.10.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 4 ; USD ; лих
15.10.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 15 ; USD ; сот
15.10.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 1 ; USD ; дис
15.11.2003 ; Доход ; Государство ; Депозиты ; Пособие ; 0 ; USD ; пос
15.11.2003 ; Доход ; Государство ; Мой кошелек ; Пособие ; 34 ; USD ; пос
15.11.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 76 ; USD ; зпл1
15.11.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 194 ; USD ; зпл2
15.11.2003 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 70 ; USD ; отец
15.11.2003 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 53 ; USD ; отец
15.11.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 1 ; USD ; кар
15.11.2003 ; Доход ; ЮКОЛА ; Депозиты ; Картриджи ; 160 ; USD ; кар
15.11.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 2,5 ; USD ; дис
15.12.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 99 ; USD ; зпл1
15.12.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 151 ; USD ; зпл2
15.12.2003 ; Доход ; Государство ; Мой кошелек ; Пособие ; 16 ; USD ; пос
15.12.2003 ; Доход ; Государство ; Мой кошелек ; Пособие ; 287 ; USD ; бол
15.12.2003 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 70 ; USD ; отец
15.12.2003 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 51 ; USD ; отец
15.12.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 2500 ; BYR ; сот
15.12.2003 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 6,5 ; USD ; дис
15.01.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 98 ; USD ; зпл1
15.01.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 152 ; USD ; зпл2
15.01.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 9 ; USD ; Дт
15.01.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл совмещение ; 100 ; USD ; мат. помощь
15.01.2004 ; Доход ; Государство ; Мой кошелек ; Пособие ; 16 ; USD ; пос
15.01.2004 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; отец
15.01.2004 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.01.2004 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 93 ; USD ; А.И.
15.01.2004 ; Доход ; ЮКОЛА ; Депозиты ; Картриджи ; 210 ; USD ; кар
15.01.2004 ; Доход ; ЮКОЛА ; Депозиты ; Прочие ; 58 ; USD ; фак
15.01.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 1,5 ; USD ; сот
15.01.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 3,5 ; USD ; дис
15.02.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 102 ; USD ; зпл1
15.02.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 170 ; USD ; зпл2
15.02.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 19900 ; BYR ; Дт
15.02.2004 ; Доход ; Государство ; Мой кошелек ; Пособие ; 16 ; USD ; пос
15.02.2004 ; Доход ; Государство ; Мой кошелек ; Пособие ; 57 ; USD ; бол
15.02.2004 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; отец
15.02.2004 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.02.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 8000 ; BYR ; сот
15.02.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 1500 ; BYR ; дис
15.03.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 129 ; USD ; зпл1
15.03.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 123 ; USD ; зпл2
15.03.2004 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; отец
15.03.2004 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.03.2004 ; Доход ; Государство ; Мой кошелек ; Пособие ; 262 ; USD ; рожд
15.03.2004 ; Доход ; ЮКОЛА ; Депозиты ; Картриджи ; 215 ; USD ; кар
15.03.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 4600 ; BYR ; дис
15.04.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 74 ; USD ; зпл1
15.04.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 176 ; USD ; зпл2
15.04.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 60600 ; BYR ; Дт
15.04.2004 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; отец
15.04.2004 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 100 ; USD ; отец
15.04.2004 ; Доход ; ЮКОЛА ; Депозиты ; Прочие ; 80 ; USD ; жсм
15.04.2004 ; Доход ; ЮКОЛА ; Депозиты ; Прочие ; 30 ; USD ; дек
15.04.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 2 ; USD ; тон
15.04.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 3900 ; BYR ; сот
15.04.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 16400 ; BYR ; дис
15.05.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 102 ; USD ; зпл1
15.05.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 148 ; USD ; зпл2
15.05.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 40400 ; BYR ; Дт
15.05.2004 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 25 ; USD ; д.р.
15.05.2004 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; отец
15.05.2004 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.05.2004 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 127 ; USD ; д.р.
15.05.2004 ; Доход ; Государство ; Мой кошелек ; Пособие ; 6,5 ; USD ; пос апр
15.05.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 1 ; USD ; рон
15.05.2004 ; Доход ; ЮКОЛА ; Депозиты ; Прочие ; 15 ; USD ; рад
15.05.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 3300 ; BYR ; сот
15.05.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 5500 ; BYR ; дис
15.06.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 102 ; USD ; зпл1
15.06.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 148 ; USD ; зпл2
15.06.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 40400 ; BYR ; Дт
15.06.2004 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 100 ; USD ; отец
15.06.2004 ; Доход ; Государство ; Мой кошелек ; Пособие ; 68 ; USD ; пос май
15.06.2004 ; Доход ; ЮКОЛА ; Депозиты ; Картриджи ; 205 ; USD ; кар
15.06.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 3 ; USD ; крс
15.06.2004 ; Доход ; ЮКОЛА ; Депозиты ; Прочие ; 65 ; USD ; фак
15.06.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 4 ; USD ; рон
15.06.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 1,5 ; USD ; хдд
15.06.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 5400 ; BYR ; сот
15.06.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 6000 ; BYR ; акк
15.06.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 2100 ; BYR ; дис
15.07.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 101 ; USD ; зпл1
15.07.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 149 ; USD ; зпл2
15.07.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 42400 ; BYR ; Дт
15.07.2004 ; Доход ; Государство ; Мой кошелек ; Пособие ; 71 ; USD ; пос июн
15.07.2004 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 30 ; USD ; отец
15.07.2004 ; Доход ; Банки ; Депозиты ; Проценты по депозитам ; 171 ; USD ; %%
15.07.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 177200 ; BYR ; сот
15.07.2004 ; Доход ; ЮКОЛА ; Депозиты ; Прочие ; 20 ; USD ; жсм
15.07.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 4400 ; BYR ; дис
15.08.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 100 ; USD ; зпл1
15.08.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 150 ; USD ; зпл2
15.08.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 19,5 ; USD ; Дт
15.08.2004 ; Доход ; Государство ; Мой кошелек ; Пособие ; 71 ; USD ; пос июл
15.08.2004 ; Доход ; Государство ; Мой кошелек ; Пособие ; 48 ; USD ; раз
15.08.2004 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 100 ; USD ; отец
