1 ; 31.12.2001 00:01 ; Перенос ; НеЗадано ; 0 ; 224 ; 162 ; -1 ; -1 ; 328 ; USD ; 0 ; USD ;   ; 
17 ; 15.02.2002 00:03 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 177 ; 229 ; 86000 ; BYR ; 0 ; USD ;   ; пособие
18 ; 15.02.2002 00:04 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 226 ; 117000 ; BYR ; 0 ; USD ;   ; отец
19 ; 15.02.2002 00:05 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 83000 ; BYR ; 0 ; USD ;   ; отец
20 ; 15.02.2002 00:06 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 70000 ; BYR ; 0 ; USD ;   ; мама
21 ; 15.02.2002 00:07 ; Обмен ; НеЗадано ; 0 ; 162 ; 162 ; 293 ; -1 ; 26200 ; BYR ; 16 ; USD ;   ; Все расходы в рублях, часть доходов в долларах, часть меняем
22 ; 15.02.2002 00:08 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 712 ; 63800 ; BYR ; 0 ; USD ;   ; 
23 ; 15.02.2002 00:09 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 257 ; 299700 ; BYR ; 0 ; USD ;   ; 
24 ; 15.02.2002 00:10 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 255 ; 199 ; 24500 ; BYR ; 0 ; USD ;   ; 
25 ; 15.02.2002 00:11 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 201 ; 25200 ; BYR ; 0 ; USD ;   ; 
26 ; 15.02.2002 00:12 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 256 ; 55700 ; BYR ; 0 ; USD ;   ; 
27 ; 15.03.2002 00:01 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 204 ; 206500 ; BYR ; 0 ; USD ;   ; зпл1
28 ; 15.03.2002 00:02 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 187 ; 79 ; USD ; 0 ; USD ;   ; зпл2
29 ; 15.03.2002 00:03 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 226 ; 120000 ; BYR ; 0 ; USD ;   ; отец
30 ; 15.03.2002 00:04 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 85000 ; BYR ; 0 ; USD ;   ; отец
31 ; 15.03.2002 00:05 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 75000 ; BYR ; 0 ; USD ;   ; мама
32 ; 15.03.2002 00:06 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 228 ; 50 ; USD ; 0 ; USD ;   ; юле к 8 марта
33 ; 15.03.2002 00:07 ; Обмен ; НеЗадано ; 0 ; 162 ; 162 ; 293 ; -1 ; 104 ; USD ; 177700 ; BYR ;   ; Все расходы в рублях, часть доходов в долларах, часть меняем
34 ; 15.03.2002 00:08 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 712 ; 110100 ; BYR ; 0 ; USD ;   ; 
35 ; 15.03.2002 00:09 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 257 ; 334300 ; BYR ; 0 ; USD ;   ; 
36 ; 15.03.2002 00:10 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 255 ; 199 ; 18900 ; BYR ; 0 ; USD ;   ; 
37 ; 15.03.2002 00:11 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 201 ; 37000 ; BYR ; 0 ; USD ;   ; 
38 ; 15.03.2002 00:12 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 256 ; 163700 ; BYR ; 0 ; USD ;   ; 
39 ; 15.04.2002 00:01 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 204 ; 198900 ; BYR ; 0 ; USD ;   ; зпл1
40 ; 15.04.2002 00:02 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 187 ; 86 ; USD ; 0 ; USD ;   ; зпл2
41 ; 15.04.2002 00:03 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 226 ; 123000 ; BYR ; 0 ; USD ;   ; отец
42 ; 15.04.2002 00:04 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 77000 ; BYR ; 0 ; USD ;   ; отец
43 ; 15.04.2002 00:05 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 70000 ; BYR ; 0 ; USD ;   ; мама
44 ; 15.04.2002 00:06 ; Обмен ; НеЗадано ; 0 ; 162 ; 162 ; 293 ; -1 ; 20 ; USD ; 34900 ; BYR ;   ; Все расходы в рублях, часть доходов в долларах, часть меняем
45 ; 15.04.2002 00:07 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 712 ; 75300 ; BYR ; 0 ; USD ;   ; 
46 ; 15.04.2002 00:08 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 257 ; 270500 ; BYR ; 0 ; USD ;   ; 
47 ; 15.04.2002 00:09 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 255 ; 199 ; 8500 ; BYR ; 0 ; USD ;   ; 
48 ; 15.04.2002 00:10 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 201 ; 51400 ; BYR ; 0 ; USD ;   ; 
49 ; 15.04.2002 00:11 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 256 ; 100500 ; BYR ; 0 ; USD ;   ; 
50 ; 15.05.2002 00:01 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 204 ; 198900 ; BYR ; 0 ; USD ;   ; зпл1
51 ; 15.05.2002 00:02 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 187 ; 88 ; USD ; 0 ; USD ;   ; зпл2
52 ; 15.05.2002 00:03 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 226 ; 125000 ; BYR ; 0 ; USD ;   ; отец
53 ; 15.05.2002 00:04 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 85000 ; BYR ; 0 ; USD ;   ; отец
54 ; 15.05.2002 00:05 ; Обмен ; НеЗадано ; 0 ; 162 ; 162 ; 293 ; -1 ; 271 ; USD ; 478200 ; BYR ;   ; Все расходы в рублях, часть доходов в долларах, часть меняем
55 ; 15.05.2002 00:06 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 712 ; 39700 ; BYR ; 0 ; USD ;   ; 
56 ; 15.05.2002 00:07 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 257 ; 304800 ; BYR ; 0 ; USD ;   ; 
57 ; 15.05.2002 00:08 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 255 ; 199 ; 88900 ; BYR ; 0 ; USD ;   ; 
58 ; 15.05.2002 00:09 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 201 ; 24900 ; BYR ; 0 ; USD ;   ; 
59 ; 15.05.2002 00:10 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 256 ; 284400 ; BYR ; 0 ; USD ;   ; 
60 ; 15.06.2002 00:01 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 204 ; 198900 ; BYR ; 0 ; USD ;   ; зпл1
61 ; 15.06.2002 00:02 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 187 ; 89 ; USD ; 0 ; USD ;   ; зпл2
62 ; 15.06.2002 00:03 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 226 ; 126000 ; BYR ; 0 ; USD ;   ; отец
63 ; 15.06.2002 00:04 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 89000 ; BYR ; 0 ; USD ;   ; отец
64 ; 15.06.2002 00:05 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 100000 ; BYR ; 0 ; USD ;   ; мама
65 ; 15.06.2002 00:06 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 30000 ; BYR ; 0 ; USD ;   ; мама
66 ; 15.06.2002 00:07 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 228 ; 200 ; USD ; 0 ; USD ;   ; родители д.р.
67 ; 15.06.2002 00:08 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 228 ; 100 ; USD ; 0 ; USD ;   ; д.Л и т.В. д.р.
68 ; 15.06.2002 00:09 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 228 ; 30 ; USD ; 0 ; USD ;   ; М и Л д.р.
69 ; 15.06.2002 00:10 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 228 ; 10 ; USD ; 0 ; USD ;   ; Галя д.р.
70 ; 15.06.2002 00:11 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 228 ; 30000 ; BYR ; 0 ; USD ;   ; д М д.р.
71 ; 15.06.2002 00:12 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 228 ; 50000 ; BYR ; 0 ; USD ;   ; О.К. и А.И. д.р.
72 ; 15.06.2002 00:13 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 228 ; 40000 ; BYR ; 0 ; USD ;   ; д.Ф. и б.Б. д.р.
73 ; 15.06.2002 00:14 ; Обмен ; НеЗадано ; 0 ; 162 ; 162 ; 293 ; -1 ; 151 ; USD ; 265000 ; BYR ;   ; Все расходы в рублях, часть доходов в долларах, часть меняем
74 ; 15.06.2002 00:15 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 712 ; 176000 ; BYR ; 0 ; USD ;   ; 
75 ; 15.06.2002 00:16 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 257 ; 370400 ; BYR ; 0 ; USD ;   ; 
76 ; 15.06.2002 00:17 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 255 ; 199 ; 280900 ; BYR ; 0 ; USD ;   ; 
77 ; 15.06.2002 00:18 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 201 ; 51900 ; BYR ; 0 ; USD ;   ; 
78 ; 15.06.2002 00:19 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 256 ; 173300 ; BYR ; 0 ; USD ;   ; 
79 ; 15.07.2002 00:01 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 204 ; 197800 ; BYR ; 0 ; USD ;   ; зпл1
80 ; 15.07.2002 00:02 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 187 ; 92 ; USD ; 0 ; USD ;   ; зпл2
81 ; 15.07.2002 00:03 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 95000 ; BYR ; 0 ; USD ;   ; мама
82 ; 15.07.2002 00:04 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 173 ; 216 ; 99 ; USD ; 0 ; USD ;   ; тел
83 ; 15.07.2002 00:05 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 173 ; 213 ; 75 ; USD ; 0 ; USD ;   ; кар
84 ; 15.07.2002 00:06 ; Обмен ; НеЗадано ; 0 ; 162 ; 162 ; 293 ; -1 ; 80 ; USD ; 146800 ; BYR ;   ; 
85 ; 15.07.2002 00:07 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 712 ; 102900 ; BYR ; 0 ; USD ;   ; 
86 ; 15.07.2002 00:08 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 257 ; 155100 ; BYR ; 0 ; USD ;   ; 
87 ; 15.07.2002 00:09 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 255 ; 199 ; 142900 ; BYR ; 0 ; USD ;   ; 
88 ; 15.07.2002 00:10 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 201 ; 39700 ; BYR ; 0 ; USD ;   ; 
89 ; 15.07.2002 00:11 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 256 ; 99500 ; BYR ; 0 ; USD ;   ; 
90 ; 15.07.2002 00:12 ; Перенос ; НеЗадано ; 0 ; 167 ; 162 ; -1 ; -1 ; 130 ; USD ; 0 ; USD ;   ; 
91 ; 15.07.2002 00:13 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 302 ; 755 ; 600 ; USD ; 0 ; USD ; 1074 ; шкаф
92 ; 15.07.2002 00:14 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 712 ; 40 ; USD ; 0 ; USD ;   ; 
93 ; 15.08.2002 00:01 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 204 ; 202200 ; BYR ; 0 ; USD ;   ; зпл1
94 ; 15.08.2002 00:02 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 187 ; 101 ; USD ; 0 ; USD ;   ; зпл2
95 ; 15.08.2002 00:03 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 80000 ; BYR ; 0 ; USD ;   ; мама
96 ; 15.08.2002 00:04 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 100 ; USD ; 0 ; USD ;   ; отец (50 за июль)
97 ; 15.08.2002 00:05 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 213 ; 76 ; USD ; 0 ; USD ;   ; кар
98 ; 15.08.2002 00:06 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 173 ; 215 ; 80 ; USD ; 0 ; USD ;   ; вин
99 ; 15.08.2002 00:07 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 216 ; 140 ; USD ; 0 ; USD ;   ; звпла
100 ; 15.08.2002 00:08 ; Обмен ; НеЗадано ; 0 ; 162 ; 162 ; 293 ; -1 ; 240 ; USD ; 439800 ; BYR ;   ; Все расходы в рублях, часть доходов в долларах, часть меняем
101 ; 15.08.2002 00:09 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 712 ; 118400 ; BYR ; 0 ; USD ;   ; 
102 ; 15.08.2002 00:10 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 257 ; 239200 ; BYR ; 0 ; USD ;   ; 
103 ; 15.08.2002 00:11 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 255 ; 199 ; 60300 ; BYR ; 0 ; USD ;   ; 
104 ; 15.08.2002 00:12 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 201 ; 26100 ; BYR ; 0 ; USD ;   ; 
105 ; 15.08.2002 00:13 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 256 ; 182300 ; BYR ; 0 ; USD ;   ; 
106 ; 15.09.2002 00:01 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 204 ; 198900 ; BYR ; 0 ; USD ;   ; зпл1
107 ; 15.09.2002 00:02 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 187 ; 103 ; USD ; 0 ; USD ;   ; зпл2
108 ; 15.09.2002 00:03 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 226 ; 70 ; USD ; 0 ; USD ;   ; отец
109 ; 15.09.2002 00:04 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 48 ; USD ; 0 ; USD ;   ; отец
110 ; 15.09.2002 00:05 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 213 ; 42 ; USD ; 0 ; USD ;   ; кар
111 ; 15.09.2002 00:06 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 173 ; 213 ; 75 ; USD ; 0 ; USD ;   ; кар
112 ; 15.09.2002 00:07 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 173 ; 215 ; 8 ; USD ; 0 ; USD ;   ; клв
113 ; 15.09.2002 00:08 ; Обмен ; НеЗадано ; 0 ; 162 ; 162 ; 293 ; -1 ; 216 ; USD ; 392900 ; BYR ;   ; Все расходы в рублях, часть доходов в долларах, часть меняем
114 ; 15.09.2002 00:09 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 712 ; 71200 ; BYR ; 0 ; USD ;   ; 
115 ; 15.09.2002 00:10 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 257 ; 357500 ; BYR ; 0 ; USD ;   ; 
116 ; 15.09.2002 00:11 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 255 ; 199 ; 52500 ; BYR ; 0 ; USD ;   ; 
117 ; 15.09.2002 00:12 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 201 ; 42400 ; BYR ; 0 ; USD ;   ; 
118 ; 15.09.2002 00:13 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 256 ; 135600 ; BYR ; 0 ; USD ;   ; 
119 ; 15.09.2002 00:14 ; Расход ; НеЗадано ; 0 ; 167 ; -1 ; 252 ; 256 ; 3 ; USD ; 0 ; USD ;   ; диск антонова
120 ; 15.10.2002 00:01 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 204 ; 199200 ; BYR ; 0 ; USD ;   ; зпл1
121 ; 15.10.2002 00:02 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 187 ; 104 ; USD ; 0 ; USD ;   ; зпл2
122 ; 15.10.2002 00:03 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 226 ; 70 ; USD ; 0 ; USD ;   ; отец
123 ; 15.10.2002 00:04 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 50 ; USD ; 0 ; USD ;   ; отец
124 ; 15.10.2002 00:05 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 60000 ; BYR ; 0 ; USD ;   ; мама
125 ; 15.10.2002 00:06 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 228 ; 150 ; USD ; 0 ; USD ;   ; д.р.
126 ; 15.10.2002 00:07 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 173 ; 218 ; 70 ; USD ; 0 ; USD ;   ; про
127 ; 15.10.2002 00:08 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 213 ; 40 ; USD ; 0 ; USD ;   ; кар
128 ; 15.10.2002 00:09 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 173 ; 213 ; 2 ; USD ; 0 ; USD ;   ; кар
129 ; 15.10.2002 00:10 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 173 ; 218 ; 15 ; USD ; 0 ; USD ;   ; бар
130 ; 15.10.2002 00:11 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 173 ; 213 ; 75 ; USD ; 0 ; USD ;   ; кар
131 ; 15.10.2002 00:12 ; Обмен ; НеЗадано ; 0 ; 162 ; 162 ; 293 ; -1 ; 352 ; USD ; 663300 ; BYR ;   ; Все расходы в рублях, часть доходов в долларах, часть меняем
132 ; 15.10.2002 00:13 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 712 ; 74600 ; BYR ; 0 ; USD ;   ; 
133 ; 15.10.2002 00:14 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 257 ; 442300 ; BYR ; 0 ; USD ;   ; 
134 ; 15.10.2002 00:15 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 255 ; 199 ; 7300 ; BYR ; 0 ; USD ;   ; 
135 ; 15.10.2002 00:16 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 201 ; 31900 ; BYR ; 0 ; USD ;   ; 
136 ; 15.10.2002 00:17 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 256 ; 266800 ; BYR ; 0 ; USD ;   ; 
137 ; 15.11.2002 00:01 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 204 ; 211900 ; BYR ; 0 ; USD ;   ; зпл1
138 ; 15.11.2002 00:02 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 187 ; 98 ; USD ; 0 ; USD ;   ; зпл2
139 ; 15.11.2002 00:03 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 226 ; 70 ; USD ; 0 ; USD ;   ; отец
140 ; 15.11.2002 00:04 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 50 ; USD ; 0 ; USD ;   ; отец
141 ; 15.11.2002 00:05 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 228 ; 30 ; USD ; 0 ; USD ;   ; АИ
142 ; 15.11.2002 00:06 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 228 ; 22 ; USD ; 0 ; USD ;   ; д.р.
143 ; 15.11.2002 00:07 ; Обмен ; НеЗадано ; 0 ; 162 ; 162 ; 293 ; -1 ; 351 ; USD ; 660500 ; BYR ;   ; Все расходы в рублях, часть доходов в долларах, часть меняем
144 ; 15.11.2002 00:08 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 712 ; 88000 ; BYR ; 0 ; USD ;   ; 
145 ; 15.11.2002 00:09 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 257 ; 268500 ; BYR ; 0 ; USD ;   ; 
146 ; 15.11.2002 00:10 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 255 ; 199 ; 29200 ; BYR ; 0 ; USD ;   ; 
147 ; 15.11.2002 00:11 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 201 ; 66000 ; BYR ; 0 ; USD ;   ; 
148 ; 15.11.2002 00:12 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 256 ; 226100 ; BYR ; 0 ; USD ;   ; 
149 ; 15.11.2002 00:13 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 755 ; 187600 ; BYR ; 0 ; USD ; 1074 ; кресло раскладное с доставкой
150 ; 15.12.2002 00:01 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 204 ; 211900 ; BYR ; 0 ; USD ;   ; зпл1
151 ; 15.12.2002 00:02 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 187 ; 100 ; USD ; 0 ; USD ;   ; зпл2
152 ; 15.12.2002 00:03 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 204 ; 24 ; USD ; 0 ; USD ;   ; отп
153 ; 15.12.2002 00:04 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 226 ; 70 ; USD ; 0 ; USD ;   ; отец
154 ; 15.12.2002 00:05 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 50 ; USD ; 0 ; USD ;   ; отец
155 ; 15.12.2002 00:06 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 225 ; 227 ; 31 ; USD ; 0 ; USD ;   ; мама
156 ; 15.12.2002 00:07 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 234 ; 205 ; 10 ; USD ; 0 ; USD ;   ; сагакянц, комп домашний
157 ; 15.12.2002 00:08 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 218 ; 100 ; USD ; 0 ; USD ;   ; ист
158 ; 15.12.2002 00:09 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 173 ; 218 ; 15 ; USD ; 0 ; USD ;   ; ист
159 ; 15.12.2002 00:10 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 234 ; 219 ; 1 ; USD ; 0 ; USD ;   ; юля
160 ; 15.12.2002 00:11 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 173 ; 218 ; 3 ; USD ; 0 ; USD ;   ; дис
161 ; 15.12.2002 00:12 ; Обмен ; НеЗадано ; 0 ; 162 ; 162 ; 293 ; -1 ; 229 ; USD ; 450300 ; BYR ;   ; Все расходы в рублях, часть доходов в долларах, часть меняем
162 ; 15.12.2002 00:13 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 712 ; 53000 ; BYR ; 0 ; USD ;   ; 
163 ; 15.12.2002 00:14 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 257 ; 315200 ; BYR ; 0 ; USD ;   ; 
164 ; 15.12.2002 00:15 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 255 ; 199 ; 23200 ; BYR ; 0 ; USD ;   ; 
165 ; 15.12.2002 00:16 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 201 ; 71800 ; BYR ; 0 ; USD ;   ; 
166 ; 15.12.2002 00:17 ; Расход ; НеЗадано ; 0 ; 162 ; -1 ; 252 ; 256 ; 349900 ; BYR ; 0 ; USD ;   ; 
