31.12.2001 18:00:00 ; Перенос ; Для ввода стартовых остатков ; Мой кошелек ; 328 ; USD ; 0 ; USD ;   ; 
15.05.2002 9:00:00 ; Доход ; Мой кошелек ;  ; 198900 ; BYR ; 0 ; USD ; ЮКОЛА | Моя з/пл официальная ; зпл1
15.05.2002 9:01:00 ; Доход ; Мой кошелек ;  ; 88 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл конверт ; зпл2
15.05.2002 9:02:00 ; Доход ; Мой кошелек ;  ; 125000 ; BYR ; 0 ; USD ; Родственники | ИльяЖил ; отец
15.05.2002 9:03:00 ; Доход ; Мой кошелек ;  ; 85000 ; BYR ; 0 ; USD ; Родственники | Субсидии ; отец
15.05.2002 9:30:00 ; Обмен ; Мой кошелек ; Мой кошелек ; 271 ; USD ; 478200 ; BYR ; обменник ; Все расходы в рублях, часть доходов в долларах, часть меняем
15.05.2002 10:00:00 ; Расход ; Мой кошелек ;  ; 39700 ; BYR ; 0 ; USD ; Прочие магазины | Авторасходы до 05/2010 ; 
15.05.2002 10:01:00 ; Расход ; Мой кошелек ;  ; 304800 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
15.05.2002 10:02:00 ; Расход ; Мой кошелек ;  ; 88900 ; BYR ; 0 ; USD ; Прочие магазины | Лекарства ; 
15.05.2002 10:03:00 ; Расход ; Мой кошелек ;  ; 24900 ; BYR ; 0 ; USD ; Прочие магазины | Квартира1 ; 
15.05.2002 10:08:00 ; Расход ; Мой кошелек ;  ; 284400 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 
15.06.2002 9:00:00 ; Доход ; Мой кошелек ;  ; 198900 ; BYR ; 0 ; USD ; ЮКОЛА | Моя з/пл официальная ; зпл1
15.06.2002 9:01:00 ; Доход ; Мой кошелек ;  ; 89 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл конверт ; зпл2
15.06.2002 9:02:00 ; Доход ; Мой кошелек ;  ; 126000 ; BYR ; 0 ; USD ; Родственники | ИльяЖил ; отец
15.06.2002 9:03:00 ; Доход ; Мой кошелек ;  ; 89000 ; BYR ; 0 ; USD ; Родственники | Субсидии ; отец
15.06.2002 9:04:00 ; Доход ; Мой кошелек ;  ; 100000 ; BYR ; 0 ; USD ; Родственники | Субсидии ; мама
15.06.2002 9:05:00 ; Доход ; Мой кошелек ;  ; 30000 ; BYR ; 0 ; USD ; Родственники | Субсидии ; мама
15.06.2002 9:06:00 ; Доход ; Мой кошелек ;  ; 200 ; USD ; 0 ; USD ; Родственники | Подарки ; родители д.р.
15.06.2002 9:07:00 ; Доход ; Мой кошелек ;  ; 100 ; USD ; 0 ; USD ; Родственники | Подарки ; д.Л и т.В. д.р.
15.06.2002 9:08:00 ; Доход ; Мой кошелек ;  ; 30 ; USD ; 0 ; USD ; Родственники | Подарки ; М и Л д.р.
15.06.2002 9:09:00 ; Доход ; Мой кошелек ;  ; 10 ; USD ; 0 ; USD ; Родственники | Подарки ; Галя д.р.
15.06.2002 9:10:00 ; Доход ; Мой кошелек ;  ; 30000 ; BYR ; 0 ; USD ; Родственники | Подарки ; д М д.р.
15.06.2002 9:11:00 ; Доход ; Мой кошелек ;  ; 50000 ; BYR ; 0 ; USD ; Родственники | Подарки ; О.К. и А.И. д.р.
15.06.2002 9:12:00 ; Доход ; Мой кошелек ;  ; 40000 ; BYR ; 0 ; USD ; Родственники | Подарки ; д.Ф. и б.Б. д.р.
15.06.2002 9:30:00 ; Обмен ; Мой кошелек ; Мой кошелек ; 151 ; USD ; 265000 ; BYR ; обменник ; Все расходы в рублях, часть доходов в долларах, часть меняем
15.06.2002 10:00:00 ; Расход ; Мой кошелек ;  ; 176000 ; BYR ; 0 ; USD ; Прочие магазины | Авторасходы до 05/2010 ; 
15.06.2002 10:01:00 ; Расход ; Мой кошелек ;  ; 370400 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
15.06.2002 10:02:00 ; Расход ; Мой кошелек ;  ; 280900 ; BYR ; 0 ; USD ; Прочие магазины | Лекарства ; 
15.06.2002 10:03:00 ; Расход ; Мой кошелек ;  ; 51900 ; BYR ; 0 ; USD ; Прочие магазины | Квартира1 ; 
15.06.2002 10:08:00 ; Расход ; Мой кошелек ;  ; 173300 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 
15.07.2002 9:00:00 ; Доход ; Мой кошелек ;  ; 197800 ; BYR ; 0 ; USD ; ЮКОЛА | Моя з/пл официальная ; зпл1
15.07.2002 9:01:00 ; Доход ; Мой кошелек ;  ; 92 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл конверт ; зпл2
15.07.2002 9:02:00 ; Доход ; Мой кошелек ;  ; 95000 ; BYR ; 0 ; USD ; Родственники | Субсидии ; мама
15.07.2002 9:03:00 ; Доход ; Шкаф ;  ; 99 ; USD ; 0 ; USD ; ЮКОЛА | АТС ; тел
15.07.2002 9:04:00 ; Доход ; Шкаф ;  ; 75 ; USD ; 0 ; USD ; ЮКОЛА | Картриджи ; кар
15.07.2002 9:30:00 ; Обмен ; Мой кошелек ; Мой кошелек ; 80 ; USD ; 146800 ; BYR ; обменник ; 
15.07.2002 10:01:00 ; Расход ; Мой кошелек ;  ; 102900 ; BYR ; 0 ; USD ; Прочие магазины | Авторасходы до 05/2010 ; 
15.07.2002 10:02:00 ; Расход ; Мой кошелек ;  ; 155100 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
15.07.2002 10:03:00 ; Расход ; Мой кошелек ;  ; 142900 ; BYR ; 0 ; USD ; Прочие магазины | Лекарства ; 
15.07.2002 10:04:00 ; Расход ; Мой кошелек ;  ; 39700 ; BYR ; 0 ; USD ; Прочие магазины | Квартира1 ; 
15.07.2002 10:08:00 ; Расход ; Мой кошелек ;  ; 99500 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 
15.07.2002 10:09:00 ; Перенос ; Шкаф ; Мой кошелек ; 130 ; USD ; 0 ; USD ;   ; 
15.07.2002 10:10:00 ; Расход ; Мой кошелек ;  ; 600 ; USD ; 0 ; USD ; Прочие магазины | Мебель ; шкаф
15.07.2002 10:11:00 ; Расход ; Мой кошелек ;  ; 40 ; USD ; 0 ; USD ; Прочие магазины | Ремонт авто ; 
15.08.2002 9:00:00 ; Доход ; Мой кошелек ;  ; 202200 ; BYR ; 0 ; USD ; ЮКОЛА | Моя з/пл официальная ; зпл1
15.08.2002 9:01:00 ; Доход ; Мой кошелек ;  ; 101 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл конверт ; зпл2
15.08.2002 9:02:00 ; Доход ; Мой кошелек ;  ; 80000 ; BYR ; 0 ; USD ; Родственники | Субсидии ; мама
15.08.2002 9:03:00 ; Доход ; Мой кошелек ;  ; 100 ; USD ; 0 ; USD ; Родственники | Субсидии ; отец (50 за июль)
15.08.2002 9:04:00 ; Доход ; Мой кошелек ;  ; 76 ; USD ; 0 ; USD ; ЮКОЛА | Картриджи ; кар
15.08.2002 9:05:00 ; Доход ; Шкаф ;  ; 80 ; USD ; 0 ; USD ; ЮКОЛА | Закупки ; вин
15.08.2002 9:06:00 ; Доход ; Мой кошелек ;  ; 140 ; USD ; 0 ; USD ; ЮКОЛА | АТС ; звпла
15.08.2002 9:30:00 ; Обмен ; Мой кошелек ; Мой кошелек ; 240 ; USD ; 439800 ; BYR ; обменник ; Все расходы в рублях, часть доходов в долларах, часть меняем
15.08.2002 10:00:00 ; Расход ; Мой кошелек ;  ; 118400 ; BYR ; 0 ; USD ; Прочие магазины | Авторасходы до 05/2010 ; 
15.08.2002 10:01:00 ; Расход ; Мой кошелек ;  ; 239200 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
15.08.2002 10:02:00 ; Расход ; Мой кошелек ;  ; 60300 ; BYR ; 0 ; USD ; Прочие магазины | Лекарства ; 
15.08.2002 10:03:00 ; Расход ; Мой кошелек ;  ; 26100 ; BYR ; 0 ; USD ; Прочие магазины | Квартира1 ; 
15.08.2002 10:08:00 ; Расход ; Мой кошелек ;  ; 182300 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 
15.09.2002 9:00:00 ; Доход ; Мой кошелек ;  ; 198900 ; BYR ; 0 ; USD ; ЮКОЛА | Моя з/пл официальная ; зпл1
15.09.2002 9:01:00 ; Доход ; Мой кошелек ;  ; 103 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл конверт ; зпл2
15.09.2002 9:02:00 ; Доход ; Мой кошелек ;  ; 70 ; USD ; 0 ; USD ; Родственники | ИльяЖил ; отец
15.09.2002 9:03:00 ; Доход ; Мой кошелек ;  ; 48 ; USD ; 0 ; USD ; Родственники | Субсидии ; отец
15.09.2002 9:04:00 ; Доход ; Мой кошелек ;  ; 42 ; USD ; 0 ; USD ; ЮКОЛА | Картриджи ; кар
15.09.2002 9:05:00 ; Доход ; Шкаф ;  ; 75 ; USD ; 0 ; USD ; ЮКОЛА | Картриджи ; кар
15.09.2002 9:06:00 ; Доход ; Шкаф ;  ; 8 ; USD ; 0 ; USD ; ЮКОЛА | Закупки ; клв
15.09.2002 9:30:00 ; Обмен ; Мой кошелек ; Мой кошелек ; 216 ; USD ; 392900 ; BYR ; обменник ; Все расходы в рублях, часть доходов в долларах, часть меняем
15.09.2002 10:00:00 ; Расход ; Мой кошелек ;  ; 71200 ; BYR ; 0 ; USD ; Прочие магазины | Авторасходы до 05/2010 ; 
15.09.2002 10:01:00 ; Расход ; Мой кошелек ;  ; 357500 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
15.09.2002 10:02:00 ; Расход ; Мой кошелек ;  ; 52500 ; BYR ; 0 ; USD ; Прочие магазины | Лекарства ; 
15.09.2002 10:03:00 ; Расход ; Мой кошелек ;  ; 42400 ; BYR ; 0 ; USD ; Прочие магазины | Квартира1 ; 
15.09.2002 10:08:00 ; Расход ; Мой кошелек ;  ; 135600 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 
15.09.2002 10:09:00 ; Расход ; Шкаф ;  ; 3 ; USD ; 0 ; USD ; Прочие магазины | Прочие расходы ; диск антонова
15.10.2002 9:00:00 ; Доход ; Мой кошелек ;  ; 199200 ; BYR ; 0 ; USD ; ЮКОЛА | Моя з/пл официальная ; зпл1
15.10.2002 9:01:00 ; Доход ; Мой кошелек ;  ; 104 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл конверт ; зпл2
15.10.2002 9:02:00 ; Доход ; Мой кошелек ;  ; 70 ; USD ; 0 ; USD ; Родственники | ИльяЖил ; отец
15.10.2002 9:03:00 ; Доход ; Мой кошелек ;  ; 50 ; USD ; 0 ; USD ; Родственники | Субсидии ; отец
15.10.2002 9:04:00 ; Доход ; Мой кошелек ;  ; 60000 ; BYR ; 0 ; USD ; Родственники | Субсидии ; мама
15.10.2002 9:05:00 ; Доход ; Мой кошелек ;  ; 150 ; USD ; 0 ; USD ; Родственники | Подарки ; д.р.
15.10.2002 9:06:00 ; Доход ; Шкаф ;  ; 70 ; USD ; 0 ; USD ; ЮКОЛА | Прочие иррац ; про
15.10.2002 9:07:00 ; Доход ; Мой кошелек ;  ; 40 ; USD ; 0 ; USD ; ЮКОЛА | Картриджи ; кар
15.10.2002 9:08:00 ; Доход ; Шкаф ;  ; 2 ; USD ; 0 ; USD ; ЮКОЛА | Картриджи ; кар
15.10.2002 9:09:00 ; Доход ; Шкаф ;  ; 15 ; USD ; 0 ; USD ; ЮКОЛА | Прочие иррац ; бар
15.10.2002 9:10:00 ; Доход ; Шкаф ;  ; 75 ; USD ; 0 ; USD ; ЮКОЛА | Картриджи ; кар
15.10.2002 9:30:00 ; Обмен ; Мой кошелек ; Мой кошелек ; 352 ; USD ; 663300 ; BYR ; обменник ; Все расходы в рублях, часть доходов в долларах, часть меняем
15.10.2002 10:00:00 ; Расход ; Мой кошелек ;  ; 74600 ; BYR ; 0 ; USD ; Прочие магазины | Авторасходы до 05/2010 ; 
15.10.2002 10:01:00 ; Расход ; Мой кошелек ;  ; 442300 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
15.10.2002 10:02:00 ; Расход ; Мой кошелек ;  ; 7300 ; BYR ; 0 ; USD ; Прочие магазины | Лекарства ; 
15.10.2002 10:03:00 ; Расход ; Мой кошелек ;  ; 31900 ; BYR ; 0 ; USD ; Прочие магазины | Квартира1 ; 
15.10.2002 10:08:00 ; Расход ; Мой кошелек ;  ; 266800 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 
15.11.2002 9:00:00 ; Доход ; Мой кошелек ;  ; 211900 ; BYR ; 0 ; USD ; ЮКОЛА | Моя з/пл официальная ; зпл1
15.11.2002 9:01:00 ; Доход ; Мой кошелек ;  ; 98 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл конверт ; зпл2
15.11.2002 9:02:00 ; Доход ; Мой кошелек ;  ; 70 ; USD ; 0 ; USD ; Родственники | ИльяЖил ; отец
15.11.2002 9:03:00 ; Доход ; Мой кошелек ;  ; 50 ; USD ; 0 ; USD ; Родственники | Субсидии ; отец
15.11.2002 9:04:00 ; Доход ; Мой кошелек ;  ; 30 ; USD ; 0 ; USD ; Родственники | Подарки ; АИ
15.11.2002 9:05:00 ; Доход ; Мой кошелек ;  ; 22 ; USD ; 0 ; USD ; Родственники | Подарки ; д.р.
15.11.2002 9:30:00 ; Обмен ; Мой кошелек ; Мой кошелек ; 351 ; USD ; 660500 ; BYR ; обменник ; Все расходы в рублях, часть доходов в долларах, часть меняем
15.11.2002 10:00:00 ; Расход ; Мой кошелек ;  ; 88000 ; BYR ; 0 ; USD ; Прочие магазины | Авторасходы до 05/2010 ; 
15.11.2002 10:01:00 ; Расход ; Мой кошелек ;  ; 268500 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
15.11.2002 10:02:00 ; Расход ; Мой кошелек ;  ; 29200 ; BYR ; 0 ; USD ; Прочие магазины | Лекарства ; 
15.11.2002 10:03:00 ; Расход ; Мой кошелек ;  ; 66000 ; BYR ; 0 ; USD ; Прочие магазины | Квартира1 ; 
15.11.2002 10:08:00 ; Расход ; Мой кошелек ;  ; 226100 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 
15.11.2002 10:09:00 ; Расход ; Мой кошелек ;  ; 187600 ; BYR ; 0 ; USD ; Прочие магазины | Мебель ; кресло раскладное с доставкой
15.12.2002 9:00:00 ; Доход ; Мой кошелек ;  ; 211900 ; BYR ; 0 ; USD ; ЮКОЛА | Моя з/пл официальная ; зпл1
15.12.2002 9:01:00 ; Доход ; Мой кошелек ;  ; 100 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл конверт ; зпл2
15.12.2002 9:02:00 ; Доход ; Мой кошелек ;  ; 24 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл официальная ; отп
15.12.2002 9:03:00 ; Доход ; Мой кошелек ;  ; 70 ; USD ; 0 ; USD ; Родственники | ИльяЖил ; отец
15.12.2002 9:04:00 ; Доход ; Мой кошелек ;  ; 50 ; USD ; 0 ; USD ; Родственники | Субсидии ; отец
15.12.2002 9:05:00 ; Доход ; Мой кошелек ;  ; 31 ; USD ; 0 ; USD ; Родственники | Субсидии ; мама
15.12.2002 9:06:00 ; Доход ; Мой кошелек ;  ; 10 ; USD ; 0 ; USD ; ЮКОЛА | Подработка ; сагакянц, комп домашний
15.12.2002 9:07:00 ; Доход ; Мой кошелек ;  ; 100 ; USD ; 0 ; USD ; ЮКОЛА | Прочие иррац ; ист
15.12.2002 9:08:00 ; Доход ; Шкаф ;  ; 15 ; USD ; 0 ; USD ; ЮКОЛА | Прочие иррац ; ист
15.12.2002 9:09:00 ; Доход ; Мой кошелек ;  ; 1 ; USD ; 0 ; USD ; Неизвестно | Неизвестно ; юля
15.12.2002 9:10:00 ; Доход ; Мой кошелек ;  ; 3 ; USD ; 0 ; USD ; ЮКОЛА | Прочие иррац ; дис
15.12.2002 9:30:00 ; Обмен ; Мой кошелек ; Мой кошелек ; 229 ; USD ; 450300 ; BYR ; обменник ; Все расходы в рублях, часть доходов в долларах, часть меняем
15.12.2002 10:00:00 ; Расход ; Мой кошелек ;  ; 53000 ; BYR ; 0 ; USD ; Прочие магазины | Авторасходы до 05/2010 ; 
15.12.2002 10:01:00 ; Расход ; Мой кошелек ;  ; 315200 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
15.12.2002 10:02:00 ; Расход ; Мой кошелек ;  ; 23200 ; BYR ; 0 ; USD ; Прочие магазины | Лекарства ; 
15.12.2002 10:03:00 ; Расход ; Мой кошелек ;  ; 71800 ; BYR ; 0 ; USD ; Прочие магазины | Квартира1 ; 
15.12.2002 10:08:00 ; Расход ; Мой кошелек ;  ; 349900 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 
15.01.2003 9:00:00 ; Доход ; Мой кошелек ;  ; 82 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл официальная ; зпл1
15.01.2003 9:01:00 ; Доход ; Мой кошелек ;  ; 104 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл конверт ; зпл2
15.01.2003 9:02:00 ; Доход ; Мой кошелек ;  ; 70 ; USD ; 0 ; USD ; Родственники | ИльяЖил ; отец
15.01.2003 9:03:00 ; Доход ; Мой кошелек ;  ; 50 ; USD ; 0 ; USD ; Родственники | Субсидии ; отец
15.01.2003 9:04:00 ; Доход ; Мой кошелек ;  ; 61 ; USD ; 0 ; USD ; ЮКОЛА | Картриджи ; кар
15.01.2003 9:05:00 ; Доход ; Шкаф ;  ; 95 ; USD ; 0 ; USD ; ЮКОЛА | Картриджи ; кар
15.01.2003 9:06:00 ; Доход ; Шкаф ;  ; 155 ; USD ; 0 ; USD ; ЮКОЛА | Закупки ; м,п,в
15.01.2003 9:07:00 ; Доход ; Мой кошелек ;  ; 1 ; USD ; 0 ; USD ; ЮКОЛА | Прочие иррац ; дис
15.01.2003 9:30:00 ; Обмен ; Мой кошелек ; Мой кошелек ; 398 ; USD ; 741700 ; BYR ; обменник ; Все расходы в рублях, часть доходов в долларах, часть меняем
15.01.2003 10:00:00 ; Расход ; Мой кошелек ;  ; 69100 ; BYR ; 0 ; USD ; Прочие магазины | Авторасходы до 05/2010 ; 
15.01.2003 10:01:00 ; Расход ; Мой кошелек ;  ; 211600 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
15.01.2003 10:02:00 ; Расход ; Мой кошелек ;  ; 66700 ; BYR ; 0 ; USD ; Прочие магазины | Лекарства ; 
15.01.2003 10:03:00 ; Расход ; Мой кошелек ;  ; 62900 ; BYR ; 0 ; USD ; Прочие магазины | Квартира1 ; 
15.01.2003 10:08:00 ; Расход ; Мой кошелек ;  ; 226900 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 
15.02.2003 9:00:00 ; Доход ; Мой кошелек ;  ; 109 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл официальная ; зпл1
15.02.2003 9:01:00 ; Доход ; Мой кошелек ;  ; 101 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл конверт ; зпл2
15.02.2003 9:02:00 ; Доход ; Мой кошелек ;  ; 70 ; USD ; 0 ; USD ; Родственники | ИльяЖил ; отец
15.02.2003 9:03:00 ; Доход ; Мой кошелек ;  ; 50 ; USD ; 0 ; USD ; Родственники | Субсидии ; отец
15.02.2003 9:04:00 ; Доход ; Шкаф ;  ; 158 ; USD ; 0 ; USD ; ЮКОЛА | Картриджи ; кар
15.02.2003 9:05:00 ; Доход ; Шкаф ;  ; 12 ; USD ; 0 ; USD ; ЮКОЛА | Ремонт ; при
15.02.2003 9:30:00 ; Обмен ; Мой кошелек ; Мой кошелек ; 359 ; USD ; 671200 ; BYR ; обменник ; Все расходы в рублях, часть доходов в долларах, часть меняем
15.02.2003 10:00:00 ; Расход ; Мой кошелек ;  ; 111700 ; BYR ; 0 ; USD ; Прочие магазины | Авторасходы до 05/2010 ; 
15.02.2003 10:01:00 ; Расход ; Мой кошелек ;  ; 271600 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
15.02.2003 10:02:00 ; Расход ; Мой кошелек ;  ; 37200 ; BYR ; 0 ; USD ; Прочие магазины | Лекарства ; 
15.02.2003 10:03:00 ; Расход ; Мой кошелек ;  ; 78000 ; BYR ; 0 ; USD ; Прочие магазины | Квартира1 ; 
15.02.2003 10:08:00 ; Расход ; Мой кошелек ;  ; 142500 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 
15.03.2003 9:00:00 ; Доход ; Мой кошелек ;  ; 107 ; USD ; 0 ; USD ; ЮКОЛА | Моя з/пл официальная ; зпл1
